time_s,com_x_mean,com_x_std,com_y_mean,com_y_std,com_z_mean,com_z_std,std_x_mean,std_x_std,std_y_mean,std_y_std,std_z_mean,std_z_std,v_x_mean,v_x_std,v_y_mean,v_y_std,v_z_mean,v_z_std,velocity_x_calc,velocity_y_calc,velocity_z_calc
0.05,41.64554503,0.0021926143818225097,-0.26357103,0.0019183636885416516,0.13092084,0.0017344139330947293,1.16557403,0.0019658784370845416,2.48532713,0.0017471896548457322,2.3589319900000003,0.001655666373794284,0.13372794,0.0,-0.0367803,0.0,-0.014318169999999998,0.0,-0.7766097999999033,-0.03353539999999988,-0.0031688000000001937
0.1,41.606714540000006,0.0032036880023746804,-0.2652478,0.0025427363571196705,0.1307624,0.0021788717263758373,1.1903775699999999,0.003062204488335741,2.49206164,0.0027375083285513953,2.36475608,0.0024000975177157187,0.0812566773,0.003174111850815689,-0.0652846827,0.004497344286651228,-0.006128462300000001,0.004270155560828488,-0.6847084333332987,-0.03193179999999973,-0.00505716666666689
0.2,41.556623970000004,0.004669098707082103,-0.26812026,0.0035840282923554133,0.12987901000000002,0.0033183133250389908,1.2137216499999999,0.0037670418058699264,2.49911618,0.0036012464856076203,2.3742607799999997,0.003720391063891529,0.043888653900000005,0.007725324786175186,-0.0420185327,0.007728064444976295,-0.0050758366,0.007117488370906292,-0.41461944666667705,-0.027361693333333603,-0.004740019999999956
0.35,41.51384546,0.006406544719331991,-0.27191786,0.004037235125051482,0.13008913,0.004240875902130678,1.22835914,0.005250297192203918,2.50759696,0.0049211494857411275,2.38362289,0.005618223404253434,0.0003682233,0.005455608196593807,-0.037212521299999995,0.005891366690538723,-0.0007833476,0.005594181321944812,-0.24464370666672153,-0.02621473333333335,0.0006854800000000161
0.45,41.49208418,0.007506715653777023,-0.27459916,0.004567753477665714,0.13010999,0.0050551279125280535,1.23610555,0.006358875812872501,2.51210731,0.005885463320664601,2.3879143099999998,0.005943974520886646,-0.0110468003,0.004380948663995338,-0.0344553378,0.0038041704088052426,0.0010885146,0.003882599997822562,-0.1973272499999723,-0.02574284999999965,0.0017709500000000489
0.55,41.474380010000004,0.008133025178582024,-0.27706643,0.005131959305000556,0.13044332,0.005516065069971675,1.2427284299999999,0.006888191899295113,2.51537879,0.00634833838324494,2.3918449699999997,0.006328533202412738,-0.0174304593,0.004219986602733116,-0.0316859992,0.003263731410773882,0.0008873279,0.003148546223550631,-0.16779443333336985,-0.027199833333333867,0.004430433333333372
0.6,41.46622147,0.008565479414788071,-0.2784896,0.005296385565704803,0.13069227,0.005876113201828831,1.24623041,0.00680394369167578,2.5164400000000002,0.00676218984165231,2.39344026,0.006734928193388661,-0.0200624755,0.003859777315880621,-0.0304732838,0.0029542065938131085,0.0009067958,0.0029540593548314214,-0.159791733333293,-0.02773220000000065,0.0026466333333333703
0.7,41.45091811,0.008980108330874592,-0.28111658,0.006048939479935225,0.13049046,0.006056930788290501,1.25252245,0.006821544915770852,2.51896779,0.007459631548155886,2.39610976,0.0072106101454100825,-0.0224791858,0.003856216167540189,-0.0281908264,0.002443951610890606,0.0019577107,0.0023547650673600333,-0.14439074999998525,-0.025856300000000054,-0.0035791499999999754
0.8,41.43734332,0.009447916721763634,-0.28366086,0.006860302518611612,0.12997644,0.006271493396361509,1.25879919,0.007228877068439159,2.52114087,0.007832233407824744,2.39834915,0.00782578803515737,-0.0242868659,0.0035066250677334696,-0.026634561799999998,0.002174971480921759,0.0020452345999999997,0.0021998390353834547,-0.12983165000002828,-0.023188149999999963,-0.001182950000000127
0.9,41.42495178,0.009511316971741988,-0.28575421,0.007369647150106352,0.13025387,0.006907604930206868,1.2637502600000001,0.0076402108472412725,2.5231775,0.007976085682725682,2.40044589,0.008431706757612177,-0.025456736900000002,0.0029563375248734943,-0.0251600331,0.0022700380140908577,0.0019447007,0.002268268535036555,-0.11640894999999318,-0.022785100000000114,-0.0003545999999999827
1.0,41.41406153,0.009389620859650701,-0.28821788000000004,0.007539735240749897,0.12990552,0.0074156915320545734,1.26831308,0.008072565947914848,2.52460075,0.008324074345207683,2.40204319,0.009014699182300764,-0.026570184499999996,0.0026677808787819684,-0.0240986054,0.002189488345873528,0.0017062182,0.00208382665607542,-0.10752174999998942,-0.023592950000000057,-0.0010117999999998961
1.1,41.40344743,0.009430945000429385,-0.29047280000000003,0.008278578913574648,0.13005151,0.007793509503018285,1.27305827,0.008346682879322768,2.52657437,0.008219718172876452,2.40385664,0.009178887925334937,-0.027155426,0.0026624030826345995,-0.0231589015,0.0019119180808939602,0.0016212874999999999,0.002047716398446183,-0.10186534999994024,-0.022673850000000106,0.0011991500000000377
1.2,41.39368846,0.009526564315904422,-0.29275265,0.008519914551635591,0.13014535,0.007890155541700191,1.27717807,0.008675491885749035,2.52818896,0.008444499666922053,2.40536405,0.009841153719601634,-0.0277195509,0.002560284576582268,-0.022642985,0.00189114966564353,0.001759383,0.0019983123820199746,-0.09571100000002275,-0.023066099999999645,-0.0009687500000001847
1.3,41.38430523,0.009578813264314947,-0.29508602,0.008563908146814203,0.12985776,0.008605883538438787,1.2813088099999999,0.00896245211383738,2.52884842,0.008434218778741565,2.40688626,0.010106704744891096,-0.0281488008,0.0026684632117160963,-0.0219525472,0.0020189936849041882,0.0017539864999999999,0.0019043941799663342,-0.09129794999998353,-0.02090100000000006,0.002557900000000224
1.4,41.37542886999999,0.009545368818008566,-0.29693284999999997,0.009249246553398588,0.13065693,0.00881075860279163,1.2853621899999998,0.009262462557014746,2.53026758,0.008441611228009023,2.40826147,0.010433519579570125,-0.0285599179,0.0021061575832533384,-0.0212064668,0.0014631374310892,0.0015534094,0.001654889421325116,-0.08883895000005282,-0.02052604999999974,0.0028162499999999646
1.5,41.36653744,0.00984776961193256,-0.29919123,0.009907060321775204,0.13042101,0.00906814317132546,1.2887861699999998,0.009183209579603923,2.53166162,0.008770864770582055,2.4097527199999997,0.010468919091821793,-0.0290539317,0.0022528596303199554,-0.020883467,0.0016726027034507955,0.0014233471,0.0016961559143106805,-0.08540664999998171,-0.019695699999999983,-0.00030689999999999884
1.6,41.35834754,0.010338098289865224,-0.30087199,0.009878248958942494,0.13059555,0.009758208513939182,1.2920687899999999,0.009365087382546251,2.53346376,0.009024474326580522,2.41059848,0.010788256316621888,-0.029521291399999997,0.002093298570401867,-0.020502581699999998,0.0016744264299385868,0.0013876905,0.0015375837875472123,-0.07679429999996046,-0.01590415000000034,0.0009966000000001252
1.7,41.351178579999996,0.01038644396149438,-0.30237206,0.010123007396215716,0.13062033,0.010658600642564518,1.2947176200000001,0.009821108259768898,2.53457612,0.009175842300565585,2.41115156,0.011325044834856787,-0.0299315594,0.001937003977532157,-0.020285392899999997,0.0016610927402610821,0.0014929651,0.0017281930623371023,-0.07350345000006087,-0.015866149999999912,0.0019186999999998289
1.8,41.34364685,0.01067658568770791,-0.30404522,0.010494765744499462,0.13097929,0.010391631764705306,1.2976668,0.009961491680719858,2.53530205,0.009416015104704417,2.41256548,0.011324773975027206,-0.0301301184,0.002379590394907663,-0.0200359942,0.0016460847469200325,0.0013290541000000001,0.001669992104339948,-0.07333344999992164,-0.014589150000000384,0.0031442500000000706
1.9,41.336511890000004,0.01106747210458479,-0.30528989,0.010600946965414713,0.13124918,0.01093120082157565,1.3002709300000002,0.010271844972373035,2.53588954,0.009409274613696868,2.4136533,0.011589315913522859,-0.0301647599,0.001954935249731153,-0.0197881266,0.001580761868933835,0.0010959189,0.00162010157956496,-0.07132240000001389,-0.015718849999999618,0.0023966999999998073
2.0,41.329382370000005,0.011554531642077107,-0.30718899,0.010860694733340413,0.13145863,0.011369983014525836,1.3031345099999998,0.010622127142917426,2.53619056,0.010171011602420187,2.41460701,0.011810697107775546,-0.0302253649,0.0016794606298827766,-0.0195410804,0.0014592999949961621,0.0010839309,0.0016436635803293814,-0.06955600000000572,-0.017760849999999717,0.0018143999999999938
2.1,41.32260069,0.011521751759606636,-0.30884206,0.011387114639562797,0.13161206,0.011550731907213636,1.3054970399999999,0.011020847980096782,2.5367364699999997,0.010155869851146847,2.4151124200000003,0.011242848020844116,-0.0303331373,0.001745383175671428,-0.019475430499999998,0.0013935418098451932,0.0009227625,0.0015930338419895506,-0.06696101333335491,-0.017971539999999897,0.0026774066666666596
2.25,41.31274909,0.011941085609661306,-0.31186198,0.011691919924236039,0.13227086999999998,0.012311040185032079,1.30935519,0.010941581566928841,2.5375699800000002,0.011122807267715662,2.41611952,0.011888617417963637,-0.0305906766,0.0016583125387106276,-0.0193389336,0.0013946784914061546,0.0008115176000000001,0.0014203366615587727,-0.06393575333331114,-0.017678259999999835,0.0008628866666666735
2.35,41.30647162,0.012075678891161084,-0.31346617,0.011893406929259139,0.13212188,0.01246932654275679,1.3116334699999999,0.011286906319794569,2.53796516,0.011453492051604371,2.41682731,0.011734598962125649,-0.0306501453,0.001558116370939218,-0.0191521132,0.0017398000758219493,0.0009363676999999999,0.0014991011078790356,-0.06121865000000071,-0.01883815000000011,0.0016329500000000774
2.45,41.300505359999995,0.012617568592332162,-0.31562961,0.011554556372599323,0.13259746,0.012579186779306792,1.31347688,0.011691976395197664,2.53849808,0.012191811028520343,2.4176978399999998,0.011927976650045927,-0.030720590099999997,0.001539663465465713,-0.0189621406,0.0016355672801331234,0.0010294664,0.0015767464116475658,-0.06285165000005577,-0.01987244999999982,0.0031933499999998727
